109|Commodious|spacious, comfortable|He has built a commodious house because his sister is likely to live with him.
110|Capitulate|surrender|After long encounter the militants had to capitulate.
111|Compunction|feeling of regret, remorse|Even the hard core criminals felt compunction at the injustice they had done to the family of their rivals.
112|Canine|of dog|The flatterers follow their masters with canine faithfulness.
113|Callow|inexperienced|Though he is a callow now, he will gain experience by and by.
114|Chagrin|annoyance, disappointment|The defeat of our team filled us with chagrin.
115|Censure|blame, criticise|Censure Motion in the Parliament could not be tabled for want of quorum.
116|Calibre|capacity, talent|His calibre for doing work in a meticulous manner is always appreciated.
117|Cede|transfer title (land)|India should never cede an inch of land to any foreign country.
118|Chauvinist|blindly devoted|A chauvinist is incapable of realizing his fault in his thinking.
119|Celestial|heavenly|The study of celestial bodies always interests me.
120|Clandestine|secret|Clandestine activities of the smugglers are well-known to the police.
121|Covert|hidden, implied|The covert warning he gave to me opened my eyes to the reality of the situation.
122|Catastrophe|calamity|A catastrophe in the form of cyclone has struck the coastal cities of India.
123|Condolence|sympathy|I visited my friend to offer condolence on the death of his uncle.
124|Chastise|punish|Rita was chastised for her unruly behaviour in the presence of the guests.
125|Connivance|pretence of ignorance, overlook|Criminals have been carrying on their nefarious activities with the connivance of the police.
126|Contraband|illegal goods|Customs Department has not been able to stop traffic in contraband goods.
127|Countermand|cancel, revoke|The Election Commission has countermanded the election of the M.L.A. for over spending in elections.
128|Colloquial|pertaining to conversation|Colloquial language should be simple and easy.
129|Conflagration|widespread fire|As long as the nuclear arsenal exists in the world, there is every possibility of nuclear conflagration.
130|Compliant|docile, flexible|He is admired for his compliant nature.
131|Cliche|stereotyped phrase|I never listen to the speeches of the leaders because they are always full of cliches.
132|Condign|adequate, rigorous|No punishment, whatsoever is condign for a rapist.
133|Congregation|religious gathering|The militants did not hesitate in throwing bombs at the congregation gathered in the religious place.
134|Chary|cautious, watchful, wary|We should be always chary of the strangers.
135|Coerce|force, repress|She was coerced by her husband into bringing money from her parents.
136|Confound|confuse|On seeing the ghastly sight of murder, everyone was confounded.
137|Cache|hiding place (store)|Cache of illegal arms was recovered by the police.
138|Cavil|find fault|Please don't cavil about unimportant matters.
139|Charisma|popular charm, spiritual grace|Swami Vivekanand always stood out in the crowd because of charisma reflected on his face.
140|Castigate|punish|The thief was castigated by the police.
141|Carping|find fault|Carping critics were responsible for the miserable life of the English poet, John Keats.
142|Dauntless|bold, brave|Shivaji was a dauntless warrior.
143|Decry|disparage|You can't gain anything by decrying the success of your rivals.
144|Devoid|lacking|I cannot trust him because he is devoid of sense of right and wrong.
145|Dearth|scarcity|There is no dearth of talent in India but it has remained unexploited.
146|Deference|regards for another's wish|We are advised to act in deference to the wishes of our parents.
147|Dubious|not certain, doubtful, suspicious|He is dubious about the scheme made by his friends.
148|Deleterious|harmful|We should always beware of the deleterious effect of overeating.
149|Defile|pollute, profane|One should never defile sanctity of religious places so as not to hurt the sentiments of others.
150|Deterrent|discouraging|India must possess nuclear weapons so that they may act as deterrent for her hostile neighbours.
151|Dilapidation|state of ruins|Ancient monuments in our town are in the state of dilapidation.
152|Disdain|treat with scorn|He always disdains what he considers dishonest.
153|Dire|disastrous|In the interest of National Security, we must not be intimidated by the dire consequences of economic sanctions.
154|Dissipate|squander, waste|India cannot afford to dissipate the forest resources.
155|Devout|religious, pious|My mother is devout and God fearing.
156|Dint|means, effort|You can attain success by dint of hard work.
157|Dormant|torpid, hidden, latent|Adversity brings out dormant qualities in a person to overcome the problems.
158|Divulge|reveal, unravel|He tried to gain my favour by divulging the secrets of my friends.
159|Defunct|no longer in use|The defunct machinery in the factory was sold as scrap.
160|Delusion|false belief|He is under the delusion that he can succeed without hard work.
161|Deplete|use up, reduce|The prolonged drought depleted the water resources of the region.
162|Debauch|corrupt morally|He debauched his youth in idle pleasures.
163|Dovetail|fit together|The plans of the two departments dovetail perfectly.
164|Decoy|lure, trap|The police used a decoy to catch the smugglers.
165|Daunt|discourage|Don't be daunted by failure.
166|Delete|remove, erase|The objectionable passages were deleted from the report.
167|Deride|mock, ridicule|They derided his efforts to reform the system.
168|Despise|look down upon|She despises hypocrisy in any form.
169|Debacle|sudden collapse|The party suffered a debacle in the elections.
170|Deployment|strategic positioning|The deployment of troops along the border was increased.
171|Diffident|lacking confidence|She was too diffident to speak in public.
172|Dynamic|energetic|At this critical juncture, India needs dynamic and sagacious political leaders.
173|Dilemma|in a fix|He is in a dilemma over the choice of career.
174|Despotism|tyranny, absolute rule|Despotism has no place in a democratic society.
175|Dexterous|skillful|He is dexterous in handling delicate situations.
176|Detrimental|harmful|The foreign aid has proved to be detrimental to our economy.
177|Desecrate|violate sanctity|One should never desecrate places of worship.
178|Diversity|variety|India is known for its cultural diversity.
179|Dulcet|sweet sounding|The dulcet tones of the flute filled the hall.
180|Demise|death|The demise of the leader was mourned by the nation.
181|Demolition|destruction|The Municipal Corporation has started demolition campaign to clear up encroachment.
182|Deranged|insane, mad|None but a deranged person could have behaved in such an irresponsible manner.
183|Demur|delay, hesitate|A practical man would never demur to avail himself of every chance.
184|Demure|shy, quiet|She is both demure and introvert.
185|Dilatory|causing delay|Many politicians consider dilatory tactics as an art of politics.
186|Deteriorate|get worse|The condition of the patient has deteriorated.
187|Extinct|out of existence|Many species of flora & fauna have become extinct.
188|Emaciated|thin and wasted|On account of poverty and starvation most of the children are emaciated.
189|Elucidate|explain, enlighten|The Government had been asked to elucidate their economic policy.
190|Engross|fully absorbed|She did not talk to me because she was engrossed in writing a letter.
191|Enormity|great wickedness|He is a hardened criminal and is insensitive to the enormity of his crimes.
192|Extant|in existence|Many of the ancient documents, still extant tell us about the diversity of Indian culture.
193|Ecstasy|rapture, joy|On hearing of the sudden financial wind fall, the family was in ecstasy.
194|Effigy|dummy|The effigy of the American President was burnt by the crowd when the unfavourable remarks against India were made by him.
195|Exorbitant|excessive|It is very difficult to hire taxi because of the exorbitant charges.
196|Embezzlement|misappropriation|Most of the politicians involved in the embezzlement of public money are still at large.
197|Emanate|issue from|This letter emanated from the central office.
198|Enamoured|in love, fascinated|Every member of the picnic party was enamoured of the scenic beauty of the landscape.
